Campaign Name,Mediaplan
MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_FACEBOOK_INSTAGRAM_REACH_CPM_BREAKFASTFORONE,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico
MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_REDCITYGDL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico
MCMMIA_2021_PRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_365BOWLS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_PANADERIA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico
MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_PANADERIA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico
MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia
MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_NT_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico
MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_DIADELAFELICIDAD_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico
MCMMX_2021_MEX_KELLOGGS_CORPORATEAFFAIRS_SEASONAL_BENEFICIOSCEREAL_FACEBOOK_FACEBOOK_REACH_CPM_FAMILYBREAKFAST,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico
MCMMIA_2021_PAN_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMMIA_2021_PAN_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_PANADERIA_FACEBOOK_INSTAGRAM_REACH_CPM_BREAKFASTFORONE,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico
MCMMIA_2021_PRI_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam
MCMMIA_2021_PRI_KELLOGGS_FROOTLOOPS_SEASONAL_FROOTLOOPS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam
