Start Date,End Date,Month,Brand,Region,Country,Campaign,Platform,Touchpoint,Format,Goal,Investment,Reach,Impressions,CPM,Clicks,CPC,CTR,Views,CPV,VTR,CR,Complete Views,CPCV,Engagement,Sales Price,Sales Quantity,Insertions,File,Buy Type,CPM USD,CPC USD,CPV USD,Unnamed: 28,Unnamed: 29,Unnamed: 30
2020-10-11,2020-10-31 00:00:00,October,Special K,Caricam,Puerto Rico,MCMPR_2020_PRI_Kelloggs_Special K_Seasonal_Reposicionamiento_Audio_Breakfast for One,Audio,Audio,Several,Impressions,630.86,,63086.0,7.0,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-10-18,2020-10-31 00:00:00,October,Special K,Caricam,Puerto Rico,MCMPR_2020_PRI_Kelloggs_Special K_Seasonal_Reposicionamiento_Audio_Breakfast for One,Audio,Audio,Several,Impressions,630.46,,63046.0,7.0,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-10,2020-08-31 00:00:00,August,Special K,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Special K_Seasonal_Reposicionamiento_Audio_Breakfast for One,Audio,Audio,Audio,Impressions,643.38,,80423.0,8.0,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-17,2020-08-31 00:00:00,August,Special K,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Special K_Seasonal_Reposicionamiento_Audio_Breakfast for One,Audio,Audio,Audio,Impressions,895.94,,11993.0,8.0,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-24,2020-08-31 00:00:00,August,Special K,Caricam,Costa Rica,MCMPR_2020_CRI_Kelloggs_Special K_Seasonal_Reposicionamiento_Audio_Breakfast for One,Audio,Audio,Audio,Impressions,486.76,,60845.0,8.0,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-02,2020-08-31 00:00:00,August,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,20051.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-10,2020-08-31 00:00:00,August,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,15310.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-17,2020-08-31 00:00:00,August,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,14775.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-24,2020-08-31 00:00:00,August,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Wavy_Audio_Evening Me,Audio,Audio,Audio,Impressions,416.66,,15993.0,0.43,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
2020-08-03,2020-08-31 00:00:00,August,Pringles,Caricam,Guatemala,MCMPR_2020_GTM_Kelloggs_Pringles_Seasonal_Wavy_Xaxis_Evening Me,Xaxis,Xaxis,Push Ads,Impressions,333.33,,13371.0,0.2,0.0,,,0.0,,,,0.0,,0.0,,,,files/12012020_Ktbo_kube_Adverity_OtherChannel__Octubre.xlsx,,,,,,,
