"Mediaplan","Mediaplan Placement","Campaign Name","Target value","Current value"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Xaxis PUSH NOTIFICATION ADS-DO","MCMPR_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_XAXISPUSHNOTIFICATIONADS_EVENINGME_CPC-XAXISPUSHNOTIFICATIONADS","7,500",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","5,263,158","6,745,692"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Youtube-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_GOOGLE_YOUTUBE_HOMEOFFICE_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","750,000.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","2,727,273","3,244,248"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Youtube-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_GOOGLE_YOUTUBE_HOMEOFFICE_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","625,005.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Xaxis - Video-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO","83,334.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Xaxis - Video-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-XAXIS-VIDEO","70,000.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Eikon-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON","20,833.50",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Eikon-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SIZMEK_MID-MORNINGSNACK_CPCV-EIKON","17,500.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Spotify-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY","58,140.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Spotify-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_SPOTIFY_MID-MORNINGSNACK_CPCV-SPOTIFY","58,140.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Xaxis PUSH NOTIFICATION ADS-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS","4,999,950",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Xaxis PUSH NOTIFICATION ADS-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_XAXISPUSHNOTIFICATIONADS_MID-MORNINGSNACK_CPM-XAXISPUSHNOTIFICATIONADS","4,999,950",""
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-SV","MCMMIA_2021_SLV_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","1,904,762","3,258,368"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-HN","MCMMIA_2021_HND_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","1,904,762","3,653,990"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-NI","MCMMIA_2021_NIC_KELLOGGS_PRINGLES_SEASONAL_VERANOX2_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","1,904,762","4,061,199"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Youtube-PA","MCMMIA_2021_PAN_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPM_FAMILYBREAKFAST","360,000","358,324"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","4,017,857","8,190,838"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","1,130,952","4,198,628"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-PA","MCMMIA_2021_PAN_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","952,381","2,599,467"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-DO","MCMMIA_2021_DOM_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","1,845,238","6,604,819"
"2021_ktbo_kube_Adverity_Mediaplan_Febrero-Caricam","Facebook and Instagram-PR","MCMMIA_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_ALWAYSON_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME","595,238","2,026,308"
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Display-PR","MCMPR_2021_PRI_KELLOGGS_SPECIALK_SEASONAL_YOSOY_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-DISPLAY","4,633,333",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","SnapChat-PR","MCMPR_2021_PRI_KELLOGGS_PRINGLES_SEASONAL_MEGHAN_SNAPCHAT_EVENINGME_CPM-SNAPCHAT","492,611",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-GT","MCMMIA_2021_GTM_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","3,900,000.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-GT","MCMPR_2021_GTM_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","2,840,416.67",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-SV","MCMMIA_2021_SLV_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","13,976,667","1,717,428"
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-SV","MCMMIA_2021_SLV_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","2,062,500.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-SV","MCMPR_2021_SLV_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","1,536,166.67",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-GT","MCMMIA_2021_GTM_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","13,705,000",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-GT","MCMMIA_2021_GTM_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_HERSHEYS_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","1,125,000.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","6,710,000",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-CR","MCMMIA_2021_CRI_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_HERSHEYS_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","750,000.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Facebook and Instagram-SV","MCMMIA_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","4,215,000",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Youtube-SV","MCMMIA_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_YOUTUBE_HERSHEYS_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST","675,000.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-GT","MCMPR_2021_GTM_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","1,135,000.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-CR","MCMPR_2021_CRI_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","756,500.00",""
"2021_ktbo_kube_Adverity_Mediaplan_Abril-Caricam","Xaxis - Video-SV","MCMPR_2021_SLV_KELLOGGS_MASTERBRAND_SEASONAL_HERSHEYS_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO","681,000.00",""
