"Mediaplan","Mediaplan Placement","Campaign Name","Buying unit","Planned Costs ($)","Costs ($)","Target value","Current value","Current delivery (%)","Delivery status"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-GT","MCMMIA_2021_GTM_KELLOGGS_SPECIALKBARS_SEASONAL_GOOGLE_YOUTUBE_HOMEOFFICE_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","Video Views","","$ 3,157.02","1,250,000.00","1,190,978.00","95 %","90% - 100%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Colombia","Facebook and Instagram-CO","MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE","Clicks","","$ 783.00","49,327","49,332","100 %","100% - 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Mexico","WeTransfer-MX","MCMMX_2021_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALWAYSCLOSETOYOU_WETRANSFER_FAMILYBREAKFAST_CPM-WETRANSFER","Impressions","","$ 23,854.96","3,133,333","3,212,583","103 %","100% - 110%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","$ 1,152.00","$ 1,151.00","1,920,000","2,007,879","105 %","100% - 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 1,151.00","1,918,333","2,007,879","105 %","100% - 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Youtube-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_GOOGLE_YOUTUBE_HOMEOFFICE_AFFINITYAUDIENCES_CPV_MID-MORNINGSNACK","Video Views","","$ 2,766.85","1,041,660.00","1,096,355.00","105 %","100% - 110%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Facebook and Instagram-SV","MCMMIA_2021_SLV_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_MEDIUMBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","$ 842.00","$ 632.06","1,403,333","1,555,717","111 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","Impressions","","$ 1,500.00","2,727,273","3,244,248","119 %","≥ 110%"
"2020_ktbo_kube_Adverity_Mediaplan_Octubre-Caricam","Facebook and Instagram-CR","MCMMIA_2021_CRI_KELLOGGS_SPECIALKBARS_SEASONAL_HOMEOFFICE_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_MID-MORNINGSNACK","Impressions","$ 1,500.00","$ 1,500.00","2,727,273","3,244,248","119 %","≥ 110%"
"2021_ktbo_kube_Adverity_Mediaplan_Marzo-Caricam","Facebook and Instagram-PA","MCMMIA_2021_PAN_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST","Impressions","","$ 1,549.00","2,581,667","3,163,280","123 %","≥ 110%"
