,Campaign Name
79,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_VERSATILIDAD_CORNERSHOP_BREAKFAST FOR ONE
80,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_VERSATILIDAD_RAPPI_BREAKFAST FOR ONE
81,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_VERSATILIDAD_WALMART MEDIA_BREAKFAST FOR ONE
82,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_ORIGINAL_CORNERSHOP_BREAKFAST FOR ONE
83,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_ORIGINAL_CORNERSHOP_BREAKFAST FOR ONE_FIXED-CORNERSHOP
84,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_ORIGINAL_WALMART MEDIA_BREAKFAST FOR ONE_FIXED-WALMART MEDIA
85,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_PLAN CONTINGENCIA_CORNERSHOP_BREAKFAST FOR ONE
86,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_PLAN CONTINGENCIA_RAPPI_BREAKFAST FOR ONE
87,MCMMIA_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_GOOGLE - RESERVA_ALL OCCASIONS_AFFINITY AUDIENCES_CPM_BREAKFAST FOR ONE
88,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALL OCCASIONS CONTENT_HOW2-PRODUCCION_BREAKFAST FOR ONE
89,MCMMX_2020_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_CORNERSHOP_BREAKFAST FOR ONE
90,MCMMX_2020_MEX_KELLOGGS_POP TARTS_SEASONAL_POP TARTS_XAXIS DYNAMIC VIDEO_MID-MORNING SNACK
91,MCMMX_2020_MEX_KELLOGGS_POP TARTS_SEASONAL_UGLY SWEATER_XAXIS DYNAMIC VIDEO_MID-MORNING SNACK_CPCV-XAXIS DYNAMIC VIDEO
92,MCMMX_2020_MEX_KELLOGGS_POP TARTS_SEASONAL_UGLY SWEATER_THINKY_MID-MORNING SNACK_FIXED-THINKY
93,MCMMX_2020_MEX_KELLOGGS_CORPORATE PROMOTIONS_SEASONAL_CRAYOLA_RAPPI_FAMILY BREAKFAST
94,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_RED CITY_XAXIS_EVENING ME
95,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_RED CITY_RAPPI_EVENING ME
96,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_RED CITY_TWITTER-PRODUCCIÓN_EVENING ME
97,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_MOVIMIENTO PRINGLES_THINKY_EVENING ME
98,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_STAY AT HOME_FUTBOL SITES_EVENING ME
99,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_PLAN CONTINGENCIA_RAPPI_EVENING ME
100,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_STAY AT HOME_THINKY_EVENING ME
101,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYS ON GAMING_GAMELOFT_EVENING ME
102,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_RED CITY _RAPPI_EVENING ME
103,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_GAMING FLAVOR_RAPPI_EVENING ME
104,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_RED CITY _CORNERSHOP_EVENING ME
105,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_GAMING FLAVOR_CORNERSHOP_EVENING ME
106,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_RED CITY _WALMART MEDIA_EVENING ME
107,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_XMAS PROMO MUSIC_THINKY_EVENING ME_FIXED-THINKY
108,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_XMAS PROMO MUSIC_CORNERSHOP_EVENING ME_FIXED-CORNERSHOP
109,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_RED CITY_CORNERSHOP_BREAKFAST FOR ONE
110,MCMMIA_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_GOOGLE_GOOGLE - RESERVA_COOKIES KIDS_AFFINITY AUDIENCES_CPM_MID-MORNING SNACK
111,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIES KIDS_WALMART MEDIA_MID-MORNING SNACK_FIXED-WALMART MEDIA
112,MCMMX_2020_MEX_KELLOGGS_KASHI_SEASONAL_KASHI_WALMART MEDIA_BREAKFAST FOR ONE
113,MCMMX_2020_MEX_KELLOGGS_KASHI_SEASONAL_KASHI_WALMART MEDIA_BREAKFAST FOR ONE_FIXED-WALMART MEDIA
114,MCMMX_2020_MEX_KELLOGGS_KASHI_SEASONAL_KASHI_CORNERSHOP_BREAKFAST FOR ONE
115,MCMMX_2020_MEX_KELLOGGS_INSTITUCIONAL_SEASONAL_INSTITUCIONAL_WALMART MEDIA_BREAKFAST FOR ONE
116,MCMMX_2020_MEX_KELLOGGS_ZUCARITAS_SEASONAL_EQUITY_XAXIS PRE-ROLL _FAMILY BREAKFAST
117,MCMMX_2020_MEX_KELLOGGS_ZUCARITAS_SEASONAL_EQUITY_XAXIS - STANDARD BANNERS_FAMILY BREAKFAST
118,MCMMX_2020_MEX_KELLOGGS_ZUCARITAS_SEASONAL_EQUITY_KIDSCORP_FAMILY BREAKFAST_CPM-KIDSCORP
119,MCMMX_2020_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_EQUITY_XAXIS PRE-ROLL _FAMILY BREAKFAST
120,MCMMX_2020_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_EQUITY_XAXIS PRE-ROLL _FAMILY BREAKFAST_CPCV-XAXIS PRE-ROLL
121,MCMMX_2020_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_M&MS_SUNMEDIA_FAMILY BREAKFAST_CPCV-SUNMEDIA
122,MCMMX_2020_MEX_KELLOGGS_SPECIAL K_SEASONAL_ORIGINAL_XAXIS SOCIAL NATIVE_BREAKFAST FOR ONE
123,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALL OCCASIONS_XAXIS SPOTIFY_BREAKFAST FOR ONE
124,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_EMBAJADORES_CORNERSHOP_BREAKFAST FOR ONE_FIXED-CORNERSHOP
125,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALL OCCASIONS_XAXIS PRE-ROLL _BREAKFAST FOR ONE
126,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALL OCCASIONS_SUNMEDIA_BREAKFAST FOR ONE
127,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_ALL OCCASIONS_XAXIS ADDRESSABLE TV_BREAKFAST FOR ONE
128,MCMMX_2020_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_CORNERSHOP_BREAKFAST FOR ONE_FIXED-CORNERSHOP
129,MCMMX_2020_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_THINKY_BREAKFAST FOR ONE_FIXED-THINKY
130,MCMMX_2020_MEX_KELLOGGS_POP TARTS_SEASONAL_POP TARTS_XAXIS PRE-ROLL _MID-MORNING SNACK
131,MCMMX_2020_MEX_KELLOGGS_POP TARTS_SEASONAL_POP TARTS_RAPPI_MID-MORNING SNACK
132,MCMMX_2020_MEX_KELLOGGS_CORPORATE PROMOTIONS_SEASONAL_CRAYOLA_XAXIS - STANDARD BANNERS_FAMILY BREAKFAST
133,MCMMX_2020_MEX_KELLOGGS_CORPORATE PROMOTIONS_SEASONAL_GANA PREMIOS_WALMART MEDIA_FAMILY BREAKFAST_FIXED-WALMART MEDIA
134,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYS ON GAMING_IMS-EA_EVENING ME
135,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_ALWAYS ON GAMING_IMS-TWITCH_EVENING ME
136,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_XMAS PROMO MUSIC_SUNMEDIA_EVENING ME_CPCV-SUNMEDIA
137,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_XMAS PROMO MUSIC_XAXIS SPOTIFY_EVENING ME_CPEC-XAXIS SPOTIFY
138,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_XMAS PROMO MUSIC_XAXIS SPOTIFY_EVENING ME_CPCV-XAXIS SPOTIFY
139,MCMMX_2020_MEX_KELLOGGS_PRINGLES_SEASONAL_XMAS PROMO MUSIC_RAPPI_EVENING ME_FIXED-RAPPI
140,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_COOKIES KIDS_XAXIS - STANDARD BANNERS_MID-MORNING SNACK_CPM-XAXIS - STANDARD BANNERS
141,MCMMX_2020_MEX_KELLOGGS_MASTERBRAND_SEASONAL_CORONAVIRUS_XAXIS DYNAMIC VIDEO_BREAKFAST FOR ONE_CPCV-XAXIS DYNAMIC VIDEO
142,MCMMX_2021_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_A LO GRANDE_XAXIS PRE-ROLL_FAMILY BREAKFAST_CPCV-XAXIS PRE-ROLL
143,MCMMX_2021_MEX_KELLOGGS_CHOCO KRISPIS_SEASONAL_GOOGLE_GOOGLE - RESERVA_A LO GRANDE_AFFINITY AUDIENCES_CPV_FAMILY BREAKFAST
144,MCMMX_2021_MEX_KELLOGGS_EXTRA_SEASONAL_EXTRA_CORNERSHOP_BREAKFAST FOR ONE_FIXED-CORNERSHOP
145,MCMMX_2021_MEX_KELLOGGS_CLOSE TO YOU_SEASONAL_CLOSE TO YOU_WETRANSFER_FAMILY BREAKFAST_CPM-WETRANSFER
146,MCMMIA_2020_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_GOOGLE - RESERVA_CASA PREMIOS_AFFINITY AUDIENCES_CPM_EVENING ME
147,MCMCO_2020_COL_KELLOGGS_FROOT LOOPS_SEASONAL_FROOT LOOPS JUMBO_XAXIS - VIDEO_FAMILY BREAKFAST
148,MCMCO_2020_COL_KELLOGGS_CHOCO KRISPIS_SEASONAL_EXPERIENCIA CHOCOKRISPIS_SPOTIFY - DISPLAY - TAKE OVER_FAMILY BREAKFAST
149,MCMCO_2020_COL_KELLOGGS_CHOCO KRISPIS_SEASONAL_EXPERIENCIA CHOCOKRISPIS_SPOTIFY - DISPLAY - SPONSORED PLAYLIST_FAMILY BREAKFAST
